'motion', 'color', 'geometry', 'group', 'item'
0,0.9465612769126892,0.60694420337677,0.8217645287513733,13
0,0.9465612769126892,0.60694420337677,0.8217645287513733,13
0,0.9527780413627625,0.6559203267097473,0.8287853002548218,13
0,0.9210902452468872,0.7750285267829895,0.9304130673408508,13
2,0.9610388278961182,0.9659066200256348,0.9926408529281616,13
0,0.8147651553153992,0.7874844670295715,0.8576472401618958,13
2,0.938193678855896,0.9691540002822876,0.9627431631088257,13
0,0.9124405980110168,0.7269079685211182,0.9387747049331665,13
2,0.9688583612442017,0.963697075843811,0.9534529447555542,13
2,0.9095364212989807,0.8826045393943787,0.615858793258667,13
0,0.8398927450180054,0.9755527973175049,0.9960988759994507,13
2,0.970589816570282,0.9664629101753235,0.9396058320999146,13
2,0.9537435173988342,0.9746583104133606,0.999082624912262,13
2,0.9613534808158875,0.9711681604385376,0.9961330890655518,13
0,0.9190640449523926,0.8963674306869507,0.8788449168205261,13
0,0.8920867443084717,0.663567841053009,0.7817633748054504,13
0,0.8558106422424316,0.7065401077270508,0.7605623602867126,13
0,0.8776233196258545,0.7303429245948792,0.7570719122886658,13
0,0.8697198629379272,0.5870997309684753,0.8922401666641235,13
0,0.8535488247871399,0.9399753212928772,0.9306741952896118,13
2,0.9575282335281372,0.9340625405311584,0.9323689341545105,13
2,0.9512365460395813,0.9506638050079346,0.934969961643219,13
2,0.9629836678504944,0.9539707899093628,0.9519058465957642,13
2,0.9676812291145325,0.9345518350601196,0.953650951385498,13
0,0.8998522758483887,0.6792848110198975,0.8057491779327393,13
0,0.8270779252052307,0.7325530052185059,0.8720043897628784,13
2,0.9479716420173645,0.9646053910255432,0.970238983631134,13
0,0.8878561854362488,0.9045608043670654,0.9829379320144653,13
0,0.8947361707687378,0.9404123425483704,0.9979274868965149,13
0,0.8673108816146851,0.9713503122329712,0.9897071123123169,13
0,0.8645758628845215,0.9519745111465454,0.9593226909637451,13
0,0.8482996225357056,0.9559838175773621,0.9491386413574219,13
0,0.9484032392501831,0.9328731298446655,0.892950713634491,13
2,0.9492436647415161,0.9531517028808594,0.9437355995178223,13
0,0.8511255383491516,0.7911739945411682,0.9216673374176025,13
2,0.9265974164009094,0.9808281660079956,0.9919954538345337,13
2,0.9390857219696045,0.9751963019371033,0.9130948781967163,13
